Package,Score
com.fitbit.FitbitMobile,5.56
com.fitnesskeeper.runkeeper.pro,5.28
com.runtastic.android,4.17
com.sillens.shapeupclub,3.61
pedometer.steptracker.calorieburner.stepcounter,3.61
com.google.android.apps.fitness,2.78
com.myfitnesspal.android,2.5
com.endomondo.android,2.5
com.creativetoolsapp.thirtydayfitnesschallenge.sixpack.absworkout.fitness,1.67
com.popularapp.sevenmins,1.67
