Package,Score
com.fitbit.FitbitMobile,8.33
com.fitnesskeeper.runkeeper.pro,10
com.runtastic.android,6.67
com.sillens.shapeupclub,1.67
pedometer.steptracker.calorieburner.stepcounter,3.33
com.google.android.apps.fitness,3.33
com.myfitnesspal.android,1.67
com.endomondo.android,3.33
com.creativetoolsapp.thirtydayfitnesschallenge.sixpack.absworkout.fitness,3.33
com.popularapp.sevenmins,3.33
